1, I'll Miss You, Amanda Lear
2, Little Girl, Sandra
3, Signed On My Tattoo, Army of Lovers
4, You're A Woman, Bad Boys Blue
5, Flames Of Love, Fancy
6, Infinity 2012 (DJ Antoine vs Mad Mark Radio Edit), Guru Josh
7, Lost In Universe, John Sparxx
8, Digital Versicolor, Glass Candy
9, Tarzan boy (Single version) (2010 Digital Remaster), Baltimora
10, Lambada, Saragossa Band
