1, A Call to Arms, Elexorien
2, The Last Sleep, Withering
3, Bullet In Your Head, Made of Hate
4, Tilsim, Almora
5, Scent Of A Dream, Thurisaz
6, Lay of the Autumn, Insomnium
7, Outremer, Kalmah
