1, Soulstorm, Patrice
2, Tout ce qu'ils veulent, Dub Incorporation
3, I Don't Wanna Wait, SOJA
4, Sweat (A La La La La Long), Inner Circle
5, No Surprises, Easy Star All-Stars
6, Pressure Drop, The Maytals
7, Sponji Reggae, Black Uhuru
8, Red Red Wine (Edit), UB40
9, Night Nurse, Gregory Isaacs
10, Skateland Rock, Augustus Pablo
