1, One in the Morning, Sara Lov
2, For You, Tin Sparrow
3, You Are What You Love, Jenny Lewis With The Watson Twins
4, Fantasy, Anya Marina
5, Baby I, Amy Millan
6, I Wish I Could, The Ditty Bops
7, Because its Not Love (But its Still a Feeling), The Pipettes
8, The Beep Beep Song, Simone White
9, Godspeed, Jenny Lewis
10, Timekeeper, Lucy Schwartz
11, Sounds Like Somewhere, Lily & Madeleine
