1, Technicolor Girls, Mates of State
2, Vote, The Submarines
3, Young Veins (Die Tonight), The Young Veins
4, Play On, The Parlotones
5, The Song from Moulin Rouge, Ai Phoenix
6, Let It Rain, Tilly and the Wall
7, Souvenirs, Architecture in Helsinki
8, Now, Mates of State
9, The High Road (Album Version), Broken Bells
10, Tonight, The Clientele
