1, Blind Tom, Grant-Lee Phillips
2, Love of My Life, Norma Waterson
3, Eve, The Apple Of My Eye, Bell X1
4, Египтянин, Piknik
5, Feather In the Wind, Susie Suh
6, Witness To Your Life (Album Version), Lori McKenna
7, Baby Smile, The Kelly Family
8, Piano Sparkling, Jonna Enckell
9, Dead American Writers, Tired Pony
