1, Prelude And Fugue In A Minor, BWV 543 - Transcribed For Piano By Franz Liszt:Prelude And Fugue, Hélène Grimaud
2, Cello Sonata No. 2 in F Major, Op. 99:IV. Allegro molto, Jacqueline du Pré
