1, Love Comes Back Around (acoustic), Graham Colton
2, You’re Enough, Patrick Park
3, Satellites, Matthew Perryman Jones
4, Comes And Goes (In Waves), Greg Laswell
5, Why We Try, Matthew Mayfield
6, Ain't Gonna Lose You, Brett Dennen
7, Today, Joshua James
8, Wash Away, Joe Purdy
9, The Longer I Run, Peter Bradley Adams
10, Vegetable Car, Joshua Radin
