1, Bible Dreams, The Wild Swans
2, A Dead Yesterday, Soror Dolorosa
3, Love Doesn't Frighten Me, Blondie
4, Just Like Heaven, The Cure
5, Cadavres Exquis (Howard Song), Little Nemo
6, It's Obvious, Au Pairs
7, Start Again, War Tapes
