1, Those Were The Days, Turisas
2, Vodka, Korpiklaani
3, Hochmut, Ignis Fatuu
4, KråkAvisO, Sorgsvart
5, A Drinking Song, Rivendell
6, Tale of the Immortals, Trelleborg
7, Scarlet To Snow, Blackguard
8, Across the Sea, Windrider
9, The Capitulation Of Vercingetorix II, Folkodia
10, Колыбельная, Natural Spirit
